"time","delta1","delta2","delta3","intPrecip","lowDepthQF","exDeltaQF","missingWireInfoQF","gapQF","priorDepthQF","overflowQF","inletHeaters1QM","inletHeaters2QM","inletHeaters3QM","adjPrecip","gaugeNoiseQF","radjPrecip","wireNoiseQF","roundedPrecip","detectablePrecip","finalPrecip"
2012-01-15 04:30:00,0.0852652485931458,0.0364465408505339,-0.00257500238478769,0.0225050667873519,0,0,0,0,0,0,0,0,0,0.0225050667873519,0,0,1,0,0,0
2012-01-15 04:35:00,0.0725365342553914,0.0933146091970229,-0.0163591722698584,0.0270194228551957,0,0,0,0,0,0,0,0,0,0.0270194228551957,0,0,1,0,0,0
2012-01-15 04:40:00,0.108476165381944,-0.241758553799968,0.00447665674539621,-0.0408188788079798,0,0,0,0,0,0,0,0,0,-0.0408188788079798,0,0,1,0,0,0
2012-01-15 04:45:00,-0.24211708967573,0.0414200216243898,0.0032964032708378,-0.0290414877131236,0,0,0,0,0,0,0,0,0,-0.0290414877131236,0,0,1,0,0,0
2012-01-15 04:50:00,0.237926305279643,0.0597086266610631,0.00227176517239513,0.057439624161418,0,0,0,0,0,0,0,0,0,0.057439624161418,0,0.057439624161418,0,0.06,0,0
2012-01-15 04:55:00,-0.276371817654876,0.108275838472991,-0.00120615509649724,-0.0203511593028823,0,0,0,0,0,0,0,0,0,-0.0203511593028823,0,0,1,0,0,0
2012-01-15 05:00:00,0.181439701202748,0.0592395819300009,-0.0051824739833819,0.0447075523361248,0,0,0,0,0,0,0,0,0,0.0447075523361248,0,0,1,0,0,0
2012-01-15 05:05:00,0.189240260638371,-0.140646952909719,0.00441777009700672,0.00133180928973658,0,0,0,0,0,0,0,0,0,0.00133180928973658,0,0,1,0,0,0
2012-01-15 05:10:00,-0.258375146052231,-0.109116879126873,-0.00096785172604541,-0.0746296878511178,0,0,0,0,0,0,0,0,0,-0.0746296878511178,0,0,1,0,0,0
2012-01-15 05:15:00,-0.063487318985608,-0.033526158257132,-0.00496888609950474,-0.0227130325578475,0,0,0,0,0,0,0,0,0,-0.0227130325578475,0,0,1,0,0,0
2012-01-15 05:20:00,0.0662028823950322,0.176108861668581,-0.00342863141463567,0.0542685848312754,0,0,0,0,0,0,0,0,0,0.0542685848312754,0,0,1,0,0,0
2012-01-15 05:25:00,0.178468920386081,-0.159159022412155,0.0173603704949983,0.00208674402845275,0,0,0,0,0,0,0,0,0,0.00208674402845275,0,0,1,0,0,0
2012-01-15 05:30:00,-0.291569218490167,0.051693359308274,-0.0136977618954006,-0.0474384106928211,0,0,0,0,0,0,0,0,0,-0.0474384106928211,0,0,1,0,0,0
2012-01-15 05:35:00,0.250643491617552,0.0434838788379466,0.0141639057499106,0.0642344267386137,0,0,0,0,0,0,0,0,0,0.0642344267386137,0,0.0642344267386137,0,0.06,0,0
2012-01-15 05:40:00,-0.0038262388638941,0.0105022360003204,-0.0102359920347226,-0.00386636587215142,0,0,0,0,0,0,0,0,0,-0.00386636587215142,0,0,1,0,0,0
2012-01-15 05:45:00,-0.0993091993576627,-0.0247615017838143,0.00394163204600773,-0.0219165630764996,0,0,0,0,0,0,0,0,0,-0.0219165630764996,0,0,1,0,0,0
2012-01-15 05:50:00,-0.0329579958763588,-0.0973547600398206,-0.00900985755220063,-0.035538225810273,0,0,0,0,0,0,0,0,0,-0.035538225810273,0,0,1,0,0,0
2012-01-15 05:55:00,-0.0462361576602461,0.245730828298406,-0.00339753044158897,0.0514813086634769,0,0,0,0,0,0,0,0,0,0.0514813086634769,0,0,1,0,0,0
2012-01-15 06:00:00,0.00889448052873831,-0.229204090268468,0.0326022723291999,-0.030323818796015,0,0,0,0,0,0,0,0,0,-0.030323818796015,0,0,1,0,0,0
2012-01-15 06:05:00,0.101481050037364,0.216301603640659,-0.037573370727273,0.0483453116644944,0,0,0,0,0,0,0,0,0,0.0483453116644944,0,0,1,0,0,0
2012-01-15 06:10:00,0.142198429382688,-0.0227643097070995,0.0162305850212761,0.0346389288212621,0,0,0,0,0,0,0,0,0,0.0346389288212621,0,0,1,0,0,0
2012-01-15 06:15:00,-0.222366927379312,-0.219913196787047,0.0103616022322512,-0.09043869071635,0,0,0,0,0,0,0,0,0,-0.09043869071635,0,0,1,0,0,0
2012-01-15 06:20:00,-0.123730253423219,0.311737739486716,-0.0104231630289178,0.0364436346203065,0,0,0,0,0,0,0,0,0,0.0364436346203065,0,0,1,0,0,0
2012-01-15 06:25:00,0.0667119169587522,-0.0642864556355107,-0.00477592753088629,-0.00258742212303356,0,0,0,0,0,0,0,0,0,-0.00258742212303356,0,0,1,0,0,0
2012-01-15 06:30:00,0.098184353927536,-0.205797628658274,-0.00903008103830416,-0.0295011056479864,0,0,0,0,0,0,0,0,0,-0.0295011056479864,0,0,1,0,0,0
2012-01-15 06:35:00,-0.0575320877125023,-0.0475848501885139,0.014290902144694,-0.0147870348492529,0,0,0,0,0,0,0,0,0,-0.0147870348492529,0,0,1,0,0,0
2012-01-15 06:40:00,0.0139269157295985,-0.0378270467599577,0.0014908928432078,-0.00452766023948024,0,0,0,0,0,0,0,0,0,-0.00452766023948024,0,0,1,0,0,0
2012-01-15 06:45:00,0.000779588080831672,0.124946988216379,0.0139194188301417,0.0356295964009812,0,0,0,0,0,0,0,0,0,0.0356295964009812,0,0.0356295964009812,0,0.04,0,0
2012-01-15 06:50:00,-0.120230780901807,0.033543438776519,-0.0195124249146374,-0.0293976461193391,0,0,0,0,0,0,0,0,0,-0.0293976461193391,0,0,1,0,0,0
2012-01-15 06:55:00,0.119851471545644,0.151269314078604,0.00233465871610861,0.0604487906834436,0,0,0,0,0,0,0,0,0,0.0604487906834436,0,0.0604487906834436,0,0.06,0,0
2012-01-15 07:00:00,0.102401942753886,0.0684515803678778,0.00968748309401235,0.0502236717905464,0,0,0,0,0,0,0,0,0,0.0502236717905464,0,0.0502236717905464,0,0.05,0,0
2012-01-15 07:05:00,-0.0152623545453707,-0.225280000643465,-0.00932860204193275,-0.0600334669604166,0,0,0,0,0,0,0,0,0,-0.0600334669604166,0,0,1,0,0,0
2012-01-15 07:10:00,-0.0147611360575866,0.101361030922362,0.00213081863932985,0.0196716354856491,0,0,0,0,0,0,0,0,0,0.0196716354856491,0,0,1,0,0,0
2012-01-15 07:15:00,-0.0952729326536428,-0.0887447422431933,0.000698206494803344,-0.0477497451406209,0,0,0,0,0,0,0,0,0,-0.0477497451406209,0,0,1,0,0,0
